               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.022262,           0.0071389,           0.0075282,             0.96621,             0.97114,               0.984,              0.7345,            0.015678,           0.0036072,           0.0025466,             0.00307,             0.00307,             0.00307
                  37,            0.022292,            0.007193,           0.0082598,             0.96936,             0.96977,             0.98146,             0.74225,             0.01426,           0.0036286,           0.0027708,            0.002872,            0.002872,            0.002872
                  38,            0.021586,           0.0071337,           0.0068255,             0.94875,              0.9696,              0.9822,             0.74203,            0.015672,           0.0035866,           0.0026905,            0.002674,            0.002674,            0.002674
                  39,            0.022051,            0.007018,           0.0076211,             0.94189,             0.97571,             0.98159,             0.74226,            0.014961,            0.003638,           0.0024711,            0.002476,            0.002476,            0.002476
                  40,            0.020913,           0.0071196,           0.0070119,             0.96935,             0.96199,             0.98378,             0.74089,             0.01476,           0.0036222,           0.0021475,            0.002278,            0.002278,            0.002278
                  41,            0.020958,           0.0068432,           0.0064535,             0.94397,             0.97512,              0.9811,               0.733,            0.015526,           0.0036117,           0.0025156,             0.00208,             0.00208,             0.00208
                  42,            0.021031,           0.0069871,            0.006807,             0.96722,             0.97335,             0.98294,             0.74858,            0.014323,           0.0036439,           0.0025229,            0.001882,            0.001882,            0.001882
                  43,            0.020891,           0.0066562,           0.0071034,             0.96904,             0.96997,             0.98435,             0.73918,            0.014528,           0.0036136,           0.0023495,            0.001684,            0.001684,            0.001684
                  44,            0.021079,           0.0069923,           0.0069638,             0.96465,             0.97028,              0.9816,             0.73454,            0.014649,           0.0036488,           0.0022251,            0.001486,            0.001486,            0.001486
                  45,            0.020332,           0.0069152,           0.0069224,             0.96309,             0.96874,             0.98413,              0.7458,            0.014724,           0.0035868,           0.0023536,            0.001288,            0.001288,            0.001288
                  46,             0.02037,           0.0068226,           0.0060429,             0.97356,             0.97508,             0.98466,             0.74629,            0.014373,           0.0036063,           0.0021574,             0.00109,             0.00109,             0.00109
                  47,            0.020453,           0.0068235,           0.0065856,             0.96381,             0.97477,               0.985,             0.75069,            0.014894,           0.0036216,           0.0023219,            0.000892,            0.000892,            0.000892
                  48,            0.020058,           0.0064588,            0.006328,              0.9666,              0.9699,              0.9858,             0.74528,            0.014619,           0.0036115,           0.0022872,            0.000694,            0.000694,            0.000694
                  49,            0.019686,           0.0066038,           0.0057519,             0.96292,             0.97554,             0.98514,             0.75826,             0.01433,           0.0035665,           0.0022372,            0.000496,            0.000496,            0.000496
